"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"6523",0,1285.80551395932,351.177826336448,2,6,4,6,6,"Growth,size=2,W=6mo,D=0.01"
"6527",0,3334.78790961011,1489.96752183146,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"6547",0,893.554272650968,1140.82622579562,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"6550",0,9.92082139267086,3073.49035842086,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"6561",0,2095.02267017827,4239.18578646543,2,52,51,53,52,"Growth,size=2,W=6mo,D=0.01"
"6580",0,1240.32881572772,1537.09836143441,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"6589",1,4623.94874987351,2780.55053380327,3,34,28,31,33,"Growth,size=2,W=6mo,D=0.01"
"6610",0,0,3744.86737056634,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"6642",0,4487.57865679573,612.667700102818,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"6643",1,0,1711.43470297568,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"6649",0,0,3494.6715926334,2,3,2,4,3,"Growth,size=2,W=6mo,D=0.01"
"6651",1,1102.32629975449,2544.35881486292,2,39,37,39,39,"Growth,size=2,W=6mo,D=0.01"
"6667",0,2929.64402673196,1948.49058277153,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"6671",0,2637.85618388529,4456.86416256767,2,29,27,29,29,"Growth,size=2,W=6mo,D=0.01"
"6673",0,746.974937462712,1637.49746709139,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"6681",2,1626.47260533472,2725.76978074671,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"6697",0,5324.04712504649,761.979961574578,2,32,30,32,32,"Growth,size=2,W=6mo,D=0.01"
"6703",0,335.727899818461,1884.32200751549,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"6707",0,5373.81148253501,4060.54838305744,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"6712",0,3290.93864382062,493.623747938227,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"6723",0,4429.50165977953,965.509082598474,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"6724",0,1595.45815342949,3423.60181243877,2,51,49,51,51,"Growth,size=2,W=6mo,D=0.01"
"6726",1,914.226273849291,592.180152803572,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"6735",0,1782.82638082729,3085.60024271201,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"6741",0,3740.9217708126,1414.04464840595,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"6760",0,1370.48740404325,1503.24485328099,2,8,7,9,8,"Growth,size=2,W=6mo,D=0.01"
"6763",0,1697.71921630277,4448.79139785053,2,31,29,31,31,"Growth,size=2,W=6mo,D=0.01"
"6772",0,1922.78378424223,2047.91640348697,2,9,7,9,9,"Growth,size=2,W=6mo,D=0.01"
"6786",0,1198.02007240646,1221.57141640161,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"6799",0,6351.03396657655,705.603165096759,3,32,26,29,31,"Growth,size=2,W=6mo,D=0.01"
"6804",0,47.2197273913439,1149.01132787812,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"6809",0,1390.25129544788,252.833259420259,2,5,3,5,5,"Growth,size=2,W=6mo,D=0.01"
"6816",0,187.835632968732,926.483557434753,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"6821",0,1840.60701427326,2276.44371520501,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"6824",0,2530.88874276625,516.185673487392,2,3,2,4,3,"Growth,size=2,W=6mo,D=0.01"
"6850",1,1688.71691619858,1365.60855464039,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"6854",1,2935.34262216423,1370.64544251047,2,44,42,44,44,"Growth,size=2,W=6mo,D=0.01"
"6866",0,1530.50065470903,630.823319101671,2,8,7,9,8,"Growth,size=2,W=6mo,D=0.01"
"6874",0,3611.32363635122,655.365474236769,3,54,48,51,53,"Growth,size=2,W=6mo,D=0.01"
"6894",0,293.270990246687,2093.51653065087,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"6919",0,704.33730839601,1425.00531513817,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"6927",0,2948.186506763,716.473213310481,2,37,35,37,37,"Growth,size=2,W=6mo,D=0.01"
"6936",0,1559.872908874,3364.5067418784,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"6938",0,1893.5408718806,1509.34058264077,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"6946",1,0,1658.21460610312,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"6952",0,1471.58345974373,2800.50710203039,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"6964",0,1532.92941315286,2865.96285550959,2,37,35,37,37,"Growth,size=2,W=6mo,D=0.01"
"6965",0,3248.31547065963,1369.01245981997,2,36,34,36,36,"Growth,size=2,W=6mo,D=0.01"
"6972",0,738.478023849675,2118.08498007387,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"6980",0,906.593332165446,1550.78011676256,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"7001",0,898.214205341356,853.078001891763,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"7002",0,1559.04225945153,713.789839744569,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"7003",0,1351.22520005881,3160.9436555584,2,33,31,33,33,"Growth,size=2,W=6mo,D=0.01"
"7006",0,5043.94183326351,1649.90462760518,2,47,45,47,47,"Growth,size=2,W=6mo,D=0.01"
"7011",0,10.4584742494326,2482.18884045071,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"7017",0,4159.65517490666,3933.65883945102,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"7034",0,3147.38309385686,2726.09752000176,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"7043",0,3239.74448571991,1129.11781322294,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
