"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"6894",0,683.929762328387,2366.29764661064,5,55,38,43,52,"Size=5,D=0.005"
"6969",0,1276.85373380895,2117.26593697504,5,88,68,73,85,"Size=5,D=0.005"
"6980",0,3552.26002532453,2194.12264624903,5,19,4,9,16,"Size=5,D=0.005"
"7003",0,0,4544.83790681418,5,63,43,48,60,"Size=5,D=0.005"
"7017",0,3320.17713026724,3933.65883945102,5,68,49,54,65,"Size=5,D=0.005"
"7043",0,4429.84084322726,3394.69754939319,5,54,36,41,51,"Size=5,D=0.005"
"7048",0,3824.40906087929,2048.71730816459,5,76,56,61,73,"Size=5,D=0.005"
"7057",0,2840.87641024911,2538.3810747051,5,46,26,31,43,"Size=5,D=0.005"
"7073",0,2135.14382954195,2548.92538074622,5,31,14,19,28,"Size=5,D=0.005"
"7109",0,3503.04297414476,1625.49979980589,5,60,43,48,57,"Size=5,D=0.005"
"7114",0,1356.26286176835,1376.83015079143,5,61,41,46,58,"Size=5,D=0.005"
"7126",0,1326.77021848661,2659.08032051378,5,53,33,38,50,"Size=5,D=0.005"
"7131",0,276.131625144885,5170.37019879654,5,81,61,66,78,"Size=5,D=0.005"
"7133",0,552.401015729617,2643.5389163089,5,115,95,100,112,"Size=5,D=0.005"
"7201",0,3484.84420836351,1228.12130124072,5,112,96,101,109,"Size=5,D=0.005"
"7203",1,289.964689433628,4030.37835773801,5,68,49,54,65,"Size=5,D=0.005"
"7228",0,1904.8411758663,1684.27485161485,5,58,38,43,55,"Size=5,D=0.005"
"7250",0,0,2260.22907903251,5,51,34,39,48,"Size=5,D=0.005"
"7263",1,1428.65908800258,1167.38649184777,5,46,29,34,43,"Size=5,D=0.005"
"7265",0,1901.63819558073,2102.5549552103,5,52,32,37,49,"Size=5,D=0.005"
"7270",0,148.918205494892,1995.13950658132,5,84,70,75,81,"Size=5,D=0.005"
"7285",0,0,3031.88551460168,5,48,28,33,45,"Size=5,D=0.005"
"7288",0,1342.08814108454,3346.36069685986,5,39,20,25,36,"Size=5,D=0.005"
"7328",0,43.8087358599773,2282.18015948893,5,70,51,56,67,"Size=5,D=0.005"
"7393",0,3486.4429552902,1850.98183549516,5,102,82,87,99,"Size=5,D=0.005"
"7397",0,5281.55958247412,2554.09379567391,6,76,49,55,72,"Size=5,D=0.005"
"7419",0,4514.23059747392,1778.21561209162,5,31,17,22,28,"Size=5,D=0.005"
"7448",0,809.544656142026,5381.33474615996,5,31,13,18,28,"Size=5,D=0.005"
"7475",0,2086.68265878914,2397.6888481116,5,27,14,19,24,"Size=5,D=0.005"
"7518",0,2391.56155001008,2901.49226908991,5,56,36,41,53,"Size=5,D=0.005"
"7528",0,2556.09366833615,3197.04265894485,5,40,23,28,37,"Size=5,D=0.005"
"7529",0,637.293797393086,1547.31682727637,6,45,15,21,41,"Size=5,D=0.005"
"7537",0,2521.85887236159,2023.10157754986,5,67,49,54,64,"Size=5,D=0.005"
"7604",1,0,5184.10406734176,5,44,24,29,41,"Size=5,D=0.005"
"7692",0,1354.53234797995,4060.79948820898,5,41,25,30,38,"Size=5,D=0.005"
