"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"662",0,180.871113800868,3007.44425390668,2,NA,NA,9,9,"RITA+Secondary,W=6mo"
"664",0,659.661915503168,211.280937022515,2,NA,NA,18,11,"RITA+Secondary,W=6mo"
"664",0,0,355.468726293738,1,NA,NA,11,11,"RITA+Secondary,W=6mo"
"670",1,1625.6909614088,2116.67333561018,3,NA,NA,39,14,"RITA+Secondary,W=6mo"
"673",0,1766.76904338994,5597.60284276056,1,NA,NA,26,26,"RITA+Secondary,W=6mo"
"675",0,637.095392581193,459.044573891085,1,NA,NA,9,9,"RITA+Secondary,W=6mo"
"675",1,2617.01524419667,2564.58716514834,2,NA,NA,33,25,"RITA+Secondary,W=6mo"
"675",0,3587.06576802571,5459.33878511067,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"676",0,409.357912339007,1415.61725365947,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
"678",1,3764.05600416987,405.348014646527,3,NA,NA,33,16,"RITA+Secondary,W=6mo"
"680",0,0,1617.64430363435,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"683",0,362.725683220984,443.140785352585,1,NA,NA,18,18,"RITA+Secondary,W=6mo"
"688",0,1439.36382741535,223.266975072878,2,NA,NA,15,8,"RITA+Secondary,W=6mo"
"688",0,0,249.17928585919,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
"690",0,1262.75665513284,2311.58006906114,2,NA,NA,27,21,"RITA+Secondary,W=6mo"
"690",0,1856.3494122468,2678.37481068145,3,NA,NA,25,14,"RITA+Secondary,W=6mo"
"693",1,116.745897005776,1071.31030953882,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"693",0,1172.81941666573,2799.97735588603,1,NA,NA,19,19,"RITA+Secondary,W=6mo"
"694",0,495.110162895164,887.505614262754,1,NA,NA,11,11,"RITA+Secondary,W=6mo"
"694",1,888.124409761931,1652.10587367641,2,NA,NA,29,28,"RITA+Secondary,W=6mo"
"694",0,0,1120.84062919967,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
"695",3,4324.90564950747,2350.89298247535,2,NA,NA,31,24,"RITA+Secondary,W=6mo"
"695",0,1641.72177808049,2178.29521944026,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
"697",0,628.168048404126,200.674395714594,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
"706",0,0,4178.4835755693,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
"710",1,2275.19572604121,3454.80043832187,2,NA,NA,30,16,"RITA+Secondary,W=6mo"
"710",2,2819.93599365611,5095.30465905662,3,NA,NA,15,10,"RITA+Secondary,W=6mo"
"711",0,0,2679.32046736163,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"716",0,862.978287628077,4099.43136117768,1,NA,NA,9,9,"RITA+Secondary,W=6mo"
"717",0,976.096957465672,1784.86001088424,1,NA,NA,12,12,"RITA+Secondary,W=6mo"
"722",1,5672.40209156273,1934.14299528532,3,NA,NA,16,11,"RITA+Secondary,W=6mo"
"728",0,3090.1607385247,2383.60130685178,2,NA,NA,36,36,"RITA+Secondary,W=6mo"
"728",3,8034.37980177171,1969.27269174595,3,NA,NA,38,19,"RITA+Secondary,W=6mo"
