"simid","pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"3046",0,0,1815.77162957459,2,5.00026121671607,3.00026121671607,5.00026121671607,5.00026121671607,"Size=2,D=0.005"
"3052",0,0,1868.38649149712,3,9.01738060120287,3.01738060120287,6.01738060120287,8.01738060120287,"Size=2,D=0.005"
"3055",0,0,4201.24852695465,2,4.01368842594838,2.01368842594838,4.01368842594838,4.01368842594838,"Size=2,D=0.005"
"3056",0,586.595427150117,2033.08793040754,2,4.16300229629683,2.16300229629683,4.16300229629683,4.16300229629683,"Size=2,D=0.005"
"3058",0,299.862880026518,1673.40424334899,2,8.02400463208446,6.02400463208446,8.02400463208446,8.02400463208446,"Size=2,D=0.005"
"3060",0,966.912011248013,918.565780519137,2,5.00062175455741,3.00062175455741,5.00062175455741,5.00062175455741,"Size=2,D=0.005"
"3062",0,495.813938079892,2300.21723259755,3,9.05521412145711,3.05521412145711,6.05521412145711,8.05521412145711,"Size=2,D=0.005"
"3064",0,730.058981874298,3007.02054403185,2,6.03535684903633,4.03535684903633,6.03535684903633,6.03535684903633,"Size=2,D=0.005"
"3066",0,2424.55833633705,1289.77168548488,2,3.00109812343787,1.00109812343787,3.00109812343787,3.00109812343787,"Size=2,D=0.005"
"3068",0,1120.07272463211,517.026614476578,2,7.12492215195571,5.12492215195571,7.12492215195571,7.12492215195571,"Size=2,D=0.005"
"3069",0,0,3060.10612433758,2,9.00511321943497,7.00511321943497,9.00511321943497,9.00511321943497,"Size=2,D=0.005"
"3070",0,1197.0238190606,1485.61228365426,2,7.00701274938169,5.00701274938169,7.00701274938169,7.00701274938169,"Size=2,D=0.005"
"3074",1,3094.01445800462,2200.43429322372,2,7.01826894363748,5.01826894363748,7.01826894363748,7.01826894363748,"Size=2,D=0.005"
"3075",0,1578.98378654156,1664.83172187739,2,5.01528512050447,3.01528512050447,5.01528512050447,5.01528512050447,"Size=2,D=0.005"
"3080",0,2203.40682677214,1057.00168289125,2,8.05696393983667,6.05696393983667,8.05696393983667,8.05696393983667,"Size=2,D=0.005"
"3081",0,0,570.315523157802,2,5.01743956833422,3.01743956833422,5.01743956833422,5.01743956833422,"Size=2,D=0.005"
"3087",0,898.762737227092,2165.43275620764,2,4.00258332826221,2.00258332826221,4.00258332826221,4.00258332826221,"Size=2,D=0.005"
"3091",0,482.664636105971,2678.77649660261,2,4.00168422047578,2.00168422047578,4.00168422047578,4.00168422047578,"Size=2,D=0.005"
"3093",0,0,1784.21796342096,2,7.01155811323287,5.01155811323287,7.01155811323287,7.01155811323287,"Size=2,D=0.005"
"3094",0,0,1697.90219719105,2,3.00079755399997,1.00079755399997,3.00079755399997,3.00079755399997,"Size=2,D=0.005"
"3101",0,1148.06037688539,2251.21702236538,2,5.00000957207785,3.00000957207785,5.00000957207785,5.00000957207785,"Size=2,D=0.005"
"3109",0,1291.92512962262,1084.57768035294,2,7.01541386839504,5.01541386839504,7.01541386839504,7.01541386839504,"Size=2,D=0.005"
"3112",0,1361.51245580619,4301.89645413865,2,6.04331713330124,4.04331713330124,6.04331713330124,6.04331713330124,"Size=2,D=0.005"
"3113",0,845.202718306442,1233.38472324001,3,5.03273226016531,0.0321338792417545,3.03213387924175,4.03273226016531,"Size=2,D=0.005"
"3114",0,982.597243265181,1449.16943091352,2,7.05612733850324,5.05612733850324,7.05612733850324,7.05612733850324,"Size=2,D=0.005"
"3118",0,3837.70984659767,3188.83535880637,2,5.00108587816414,3.00108587816414,5.00108587816414,5.00108587816414,"Size=2,D=0.005"
"3121",0,2336.77770794961,1274.11865367911,2,3.23789021123696,2.1271490459724,4.1271490459724,3.23789021123696,"Size=2,D=0.005"
"3126",0,616.017106754319,3551.77509223282,2,5.03194707252997,3.03194707252997,5.03194707252997,5.03194707252997,"Size=2,D=0.005"
"3134",1,445.673807075073,906.83538664148,2,6.00822355193726,4.00822355193726,6.00822355193726,6.00822355193726,"Size=2,D=0.005"
"3139",0,0,2237.90046861678,2,6.04694334173999,4.04694334173999,6.04694334173999,6.04694334173999,"Size=2,D=0.005"
"3146",0,142.701654156458,2097.17198188556,2,6.0147352124353,4.0147352124353,6.0147352124353,6.0147352124353,"Size=2,D=0.005"
"3151",1,1263.89575941815,636.102768856383,2,4.05228320433754,2.05228320433754,4.05228320433754,4.05228320433754,"Size=2,D=0.005"
"3152",0,0,2008.64249337658,2,5.0002781287106,3.0002781287106,5.0002781287106,5.0002781287106,"Size=2,D=0.005"
"3154",0,2160.88250951129,297.694412078832,2,8.08189260497266,6.08189260497266,8.08189260497266,8.08189260497266,"Size=2,D=0.005"
"3161",0,728.671996615604,2511.71616523446,2,7.17289645147136,5.17289645147136,7.17289645147136,7.17289645147136,"Size=2,D=0.005"
"3165",0,864.520131694027,655.633925303506,2,5.0705211677615,3.0705211677615,5.0705211677615,5.0705211677615,"Size=2,D=0.005"
"3172",0,2558.37713815888,1370.36970433763,2,5.04122601833031,3.04122601833031,5.04122601833031,5.04122601833031,"Size=2,D=0.005"
"3173",0,1225.4209783452,2448.10294963263,2,8.05538395316997,6.05538395316997,8.05538395316997,8.05538395316997,"Size=2,D=0.005"
"3175",0,707.92515662515,1205.66594020944,2,7.00587020294826,5.00587020294826,7.00587020294826,7.00587020294826,"Size=2,D=0.005"
"3176",0,2513.13795678007,4049.14838277582,3,8.05635272018997,2.05635272018997,5.05635272018997,7.05635272018997,"Size=2,D=0.005"
"3183",0,593.823152936573,1532.79891317141,2,3.18174006050045,1.18174006050045,3.18174006050045,3.18174006050045,"Size=2,D=0.005"
"3186",0,1294.61559683781,696.076068915601,2,4.00340620790523,2.00340620790523,4.00340620790523,4.00340620790523,"Size=2,D=0.005"
"3190",0,1103.80170931059,936.190234053439,2,6.00555087598923,4.00555087598923,6.00555087598923,6.00555087598923,"Size=2,D=0.005"
"3193",0,2107.69855080577,1271.94385415032,2,8.00475645384195,6.00475645384195,8.00475645384195,8.00475645384195,"Size=2,D=0.005"
"3194",0,1049.48457205272,4389.06444739099,3,6.22257753019814,1.03107399666158,4.03107399666158,5.22257753019814,"Size=2,D=0.005"
"3197",0,429.706035978621,1430.9514314951,2,6.00004249194371,4.00004249194371,6.00004249194371,6.00004249194371,"Size=2,D=0.005"
"3199",0,927.296803172422,1326.56636482389,2,3.02575336179422,1.02575336179422,3.02575336179422,3.02575336179422,"Size=2,D=0.005"
"3203",0,81.004855284815,1847.62567304834,2,3.06835913789735,1.06835913789735,3.06835913789735,3.06835913789735,"Size=2,D=0.005"
"3209",0,466.462970279378,1906.3418860271,2,5.06385296772042,3.06385296772042,5.06385296772042,5.06385296772042,"Size=2,D=0.005"
"3218",0,1571.11980387378,769.267353170569,2,5.00327715796728,3.00327715796728,5.00327715796728,5.00327715796728,"Size=2,D=0.005"
"3222",0,1691.70320434752,3193.79472575182,2,8.01636443218406,6.01636443218406,8.01636443218406,8.01636443218406,"Size=2,D=0.005"
"3226",0,3334.20494226924,1263.91434094547,2,7.02721989033956,5.02721989033956,7.02721989033956,7.02721989033956,"Size=2,D=0.005"
"3235",0,376.997018569929,3886.7622932098,2,4.0072283899419,2.0072283899419,4.0072283899419,4.0072283899419,"Size=2,D=0.005"
"3240",0,1515.16015449673,2058.9281059152,2,5.06610291089285,3.06610291089285,5.06610291089285,5.06610291089285,"Size=2,D=0.005"
"3250",0,431.4571146148,1570.08625598322,2,6.08204369853603,4.08204369853603,6.08204369853603,6.08204369853603,"Size=2,D=0.005"
"3252",0,892.075479986963,626.161465356697,2,8.00021819906509,6.00021819906509,8.00021819906509,8.00021819906509,"Size=2,D=0.005"
"3261",0,177.118526012143,1962.43496108504,2,6.03682984450024,4.03682984450024,6.03682984450024,6.03682984450024,"Size=2,D=0.005"
"3274",0,2385.52146589181,2006.84118579754,2,6.08528240887938,4.08528240887938,6.08528240887938,6.08528240887938,"Size=2,D=0.005"
"3276",0,765.63903176722,2116.05252932723,3,9.05211925757895,3.05211925757895,6.05211925757895,8.05211925757895,"Size=2,D=0.005"
"3282",0,160.847881449241,4142.97913614985,2,5.12166112718549,3.12166112718549,5.12166112718549,5.12166112718549,"Size=2,D=0.005"
"3283",0,229.278649557552,2373.6570224005,2,5.04405400564617,3.04405400564617,5.04405400564617,5.04405400564617,"Size=2,D=0.005"
"3286",1,4318.19315661761,774.021194553251,2,9.01033691763291,7.01033691763291,9.01033691763291,9.01033691763291,"Size=2,D=0.005"
