"pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
0,877.58216638169,980.492308255518,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
1,0,2972.90169370321,1,NA,NA,22,22,"RITA+Secondary,W=6mo"
0,976.096957465672,1784.86001088424,1,NA,NA,12,12,"RITA+Secondary,W=6mo"
1,4038.44997621118,2128.22923200887,3,NA,NA,33,18,"RITA+Secondary,W=6mo"
0,2611.94963096131,3243.51021461092,2,NA,NA,14,10,"RITA+Secondary,W=6mo"
1,5672.40209156273,1934.14299528532,3,NA,NA,16,11,"RITA+Secondary,W=6mo"
0,0,4415.79410878648,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
0,3090.1607385247,2383.60130685178,2,NA,NA,36,36,"RITA+Secondary,W=6mo"
1,1327.46586730055,3245.77508135084,2,NA,NA,25,21,"RITA+Secondary,W=6mo"
3,8034.37980177171,1969.27269174595,3,NA,NA,38,19,"RITA+Secondary,W=6mo"
0,0,859.724831972634,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
0,250.200067062304,2942.38950675497,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
1,2318.38217840393,2446.45788822772,2,NA,NA,15,12,"RITA+Secondary,W=6mo"
2,4544.44843269609,1218.79143733464,3,NA,NA,63,63,"RITA+Secondary,W=6mo"
3,5228.7188124869,2832.74414072347,3,NA,NA,21,13,"RITA+Secondary,W=6mo"
1,1110.55678835991,436.616255752415,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
1,1359.13412737237,1966.58974048578,2,NA,NA,1,1,"RITA+Secondary,W=6mo"
0,0,3639.28303449321,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,3643.99582812687,1666.20475702578,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
0,0,232.153897552713,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
1,4086.43670261529,495.150316712502,2,NA,NA,1,1,"RITA+Secondary,W=6mo"
3,3501.91611917972,2255.28683451721,3,NA,NA,39,34,"RITA+Secondary,W=6mo"
1,3151.92453016479,2193.76585458886,2,NA,NA,10,6,"RITA+Secondary,W=6mo"
1,0,3136.10646522554,1,NA,NA,13,13,"RITA+Secondary,W=6mo"
0,1125.35708111097,3847.64892604049,2,NA,NA,10,10,"RITA+Secondary,W=6mo"
0,1003.59298504123,3483.88672906721,2,NA,NA,17,13,"RITA+Secondary,W=6mo"
0,0,866.626066593925,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
3,4036.04670244924,939.997130123401,3,NA,NA,19,11,"RITA+Secondary,W=6mo"
0,359.67389615285,2767.53996214634,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,5335.09920684309,4450.74313746767,1,NA,NA,11,11,"RITA+Secondary,W=6mo"
0,0,554.525471561562,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,847.900358266851,2311.79515683024,1,NA,NA,28,28,"RITA+Secondary,W=6mo"
0,9176.23907883722,2077.29480080974,3,NA,NA,64,41,"RITA+Secondary,W=6mo"
1,2967.05440452287,2401.86517067642,2,NA,NA,18,14,"RITA+Secondary,W=6mo"
0,1705.32757503787,976.482231089944,1,NA,NA,12,12,"RITA+Secondary,W=6mo"
