"simid","intervention","ida_per_contact","pia_per_contact","ida_random","pia_random","ida_diff","pia_diff","ida_ratio","pia_ratio","ida_pct_change","pia_pct_change"
7936,"network",74.1960008150593,0.00591715976331361,304.110777731328,0,-229.914776916268,0.00591715976331361,0.243976886871827,NA,-75.6023113128173,NA
7946,"network",142.243495046883,0.0111642743221691,2655.90336567117,0.0151515151515152,-2513.65987062429,-0.00398724082934609,0.0535574813773154,0.736842105263158,-94.6442518622685,-26.3157894736842
7950,"network",51.7095962540594,0.0178571428571429,21.5940088650712,0,30.1155873889881,0.0178571428571429,2.39462698089843,NA,139.462698089843,NA
7967,"network",7.98197531781498,0,13.9136557672156,0,-5.93168044940058,0,0.573679229338326,NA,-42.6320770661674,NA
7974,"network",311.004126129928,0,690.067595194809,0,-379.063469064881,0,0.450686466507864,NA,-54.9313533492136,NA
7980,"network",76.0951966041643,0,89.8244447662338,0,-13.7292481620694,0,0.847154655975893,NA,-15.2845344024107,NA
7987,"network",88.9247186029696,0,51.5875581831045,0,37.337160419865,0,1.72376289428821,NA,72.3762894288208,NA
7991,"network",193.822560105667,0.0119047619047619,309.156411289548,0,-115.333851183881,0.0119047619047619,0.626940128128664,NA,-37.3059871871336,NA
7994,"network",131.804213042722,0,43.3878364895813,0,88.4163765531407,0,3.03781482799614,NA,203.781482799614,NA
7995,"network",108.489323130142,0,644.158640560131,0,-535.669317429989,0,0.168420193876162,NA,-83.1579806123838,NA
7998,"network",111.438367600479,0,527.451575766393,0,-416.013208165914,0,0.211276964029462,NA,-78.8723035970538,NA
8003,"network",103.731343487595,0,151.253397832069,0,-47.5220543444743,0,0.68581165761819,NA,-31.418834238181,NA
8008,"network",82.5719907026151,0.0151072124756335,27.8520998164139,0,54.7198908862012,0.0151072124756335,2.96465944208463,NA,196.465944208463,NA
8010,"network",125.625489524867,0.0243055555555556,0,0.0625,125.625489524867,-0.0381944444444444,NA,0.388888888888889,NA,-61.1111111111111
8017,"network",101.807145466471,0,233.605500734177,0,-131.798355267706,0,0.435807997442314,NA,-56.4192002557686,NA
8030,"network",63.657498797602,0,127.314997595204,0,-63.657498797602,0,0.5,NA,-50,NA
8034,"network",99.7200720502776,0.0043859649122807,569.715090971991,0.0263157894736842,-469.995018921713,-0.0219298245614035,0.175034984381659,0.166666666666667,-82.4965015618341,-83.3333333333333
8038,"network",82.5691717984956,0.0076945412311266,218.32958893499,0,-135.760417136494,0.0076945412311266,0.378185898673961,NA,-62.1814101326039,NA
8039,"network",71.5448207992219,0,142.998973044949,0,-71.4541522457273,0,0.500317025191034,NA,-49.9682974808966,NA
8043,"network",85.4140327511901,0,1607.44556292457,0,-1522.03153017338,0,0.0531365009934075,NA,-94.6863499006593,NA
8050,"network",25.0526915770271,0,0,0,25.0526915770271,0,NA,NA,NA,NA
8055,"network",96.8092421309737,0.0102564102564103,213.315506263714,0,-116.506264132741,0.0102564102564103,0.453831246619699,NA,-54.6168753380301,NA
