donor,recipient,distance,timetransmission,contacttype,simid
0.2,0.2.2,0.002,1449.0106564104988,G,72
0.2.1,0.2.1.1,0.005,2511.8618571200363,G,72
0.2.2,0.2.2.1,0.004,1612.126404567433,G,72
0.2.1.1,0.2.1.1.1,0.009,2666.05568928884,G,72
0.2.1.1,0.2.1.1.2,0.001,3211.8020820295383,G,72
0.2.2.1,0.2.2.1.1,0.005,2134.7291365666574,G,72
0.2.1.1.2,0.2.1.1.2.1,0.002,3327.518341889246,F,72
0,0.1,0.016,4.936823852870816,G,73
0,0.2,0.012,458.4519365722442,G,73
0.1,0.1.1,0.0,142.54753618883925,G,73
0.2,0.2.1,Inf,896.5351422998777,G,73
0.2,0.2.2,0.007,2326.051681932081,G,73
0.2,0.2.3,0.0,2848.8119963178874,G,73
0.2,0.2.4,0.007,3028.730851537409,G,73
0.2.1,0.2.1.1,Inf,1210.4253943474907,G,73
0.2.2,0.2.2.1,0.0,2759.5623674043936,G,73
0.2.2,0.2.2.2,0.002,2917.1842508359955,F,73
0.2.3,0.2.3.1,0.011,3094.940192365561,G,73
0.2.4,0.2.4.1,0.0,5193.8703835019105,G,73
0.2.4,0.2.4.2,0.003,5262.9212538977745,G,73
0.2.2.1,0.2.2.1.1,0.011,3009.9845250810813,G,73
0.2.4.1,0.2.4.1.1,0.001,5413.412731926728,G,73
0.2.4.1,0.2.4.1.2,0.001,5432.485508144498,F,73
0.2.4.2,0.2.4.2.1,0.002,5480.136447446178,G,73
0.2.4.2,0.2.4.2.2,0.006,5489.951728324309,H,73
0,0.1,0.0,440.76866187817353,G,76
0,0.2,0.002,600.71013114473,G,76
0.1,0.1.1,0.011,590.6394173394496,G,76
0.1.1,0.1.1.1,0.011,698.6826838453477,G,76
0.1.1,0.1.1.2,0.011,707.0340987593827,G,76
0.1.1,0.1.1.3,Inf,982.3471421962078,G,76
0.1.1,0.1.1.4,0.005,1641.4880359239644,G,76
0.1.1.1,0.1.1.1.1,0.007,1443.4642021015088,F,76
0.1.1.1,0.1.1.1.2,0.001,3233.936794466037,G,76
0.1.1.3,0.1.1.3.1,Inf,2694.577757606482,G,76
0.1.1.1.1,0.1.1.1.1.1,Inf,2665.8356810187474,F,76
0.1.1.1.2,0.1.1.1.2.1,0.005,3708.7299740476547,G,76
0.1.1.1.1.1,0.1.1.1.1.1.1,Inf,4171.482831874683,F,76
0,0.1,0.001,192.07136088808267,G,78
0,0.1,0.01,6.1358835975348445,H,79
0,0.2,0.019,220.9914994192779,G,79
0.2,0.2.1,0.013,1251.728059096232,G,79
0.2,0.2.2,0.011,1817.2878652202746,G,79
0.2.1,0.2.1.1,0.008,1630.2045932169128,F,79
0.2.1.1,0.2.1.1.1,0.002,1792.2763667292434,H,79
0,0.1,0.007,102.59988742949724,H,81
0,0.2,0.013,571.545672942758,G,81
0.2,0.2.1,Inf,871.7361862183013,G,81
0.2,0.2.2,0.006,1684.00118485766,G,81
0.2,0.2.3,0.0,2194.932260282326,G,81
0.2.2,0.2.2.1,0.005,1692.869217203798,G,81
0,0.1,0.002,158.33662237286595,G,83
0,0.2,0.002,215.677406465972,G,83
